AMZN,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2011-05-10,201.94,205.29,201.56,203.94,5891766,198.65699999999998,190.2905,179.46169999999998,0.01563745019920315
2011-05-11,203.12,205.5,202.25,204.38,4813423,199.43200000000002,191.48549999999997,180.16049999999998,0.0021574973031284195
2011-05-12,204.22,206.1852,200.62,206.07,4820689,200.53199999999998,192.6745,180.84150000000002,0.008268910852333944
2011-05-13,205.7,206.39,202.36,202.56,4126180,201.207,193.7115,181.43689999999998,-0.01703304702285624
2011-05-16,200.54,200.9,191.37,192.51,9389687,200.339,194.3365,181.85370000000003,-0.04961492890995267
2011-05-17,191.817,195.98,191.76,194.81,7077635,199.975,195.16000000000003,182.36829999999998,0.01194743130227005
2011-05-18,194.13,198.283,193.25,197.09,4958992,199.687,196.0735,182.9723,0.011703711308454379
2011-05-19,198.33,199.95,197.55,198.805,3702621,199.8565,196.82025000000002,183.56740000000002,0.00870160840225287
2011-05-20,197.95,199.8,197.24,198.65,3382020,199.9615,197.45825,184.21759999999998,-0.0007796584592942857
2011-05-23,195.56,197.29,192.02,196.22,4230522,199.5035,197.99825,184.78059999999996,-0.012232569846463703
2011-05-24,197.0,197.0,193.0,193.27,2972666,198.4365,198.54675,185.3114,-0.01503414534705938
2011-05-25,193.57,194.35,191.14,192.26,4661206,197.22449999999998,198.32825,185.855,-0.00522584984736385
2011-05-26,191.24,196.45,190.88,195.0,4075275,196.1175,198.32475000000002,186.46099999999998,0.01425153438052651
2011-05-27,194.76,196.12,193.5,194.13,2353955,195.27450000000002,198.24075,187.12419999999997,-0.004461538461538517
2011-05-31,195.94,198.44,195.03,196.69,3412944,195.69250000000002,198.01575,187.8216,0.013187039612630791
2011-06-01,196.06,197.26,192.05,192.395,3449407,195.45100000000002,197.713,188.37900000000002,-0.021836392292439832
2011-06-02,192.28,194.44,190.56,193.65,3045559,195.107,197.397,189.0,0.006523038540502624
2011-06-03,191.23,193.21,187.62,188.32,4975620,194.0585,196.9575,189.46,-0.027523883294603757
2011-06-06,188.01,189.85,185.18,185.69,3713214,192.7625,196.36200000000002,189.7518,-0.013965590484282031
2011-06-07,185.72,190.63,185.52,187.55,4867037,191.8955,195.6995,190.0832,0.010016694490818212
2011-06-08,187.45,189.81,186.32,188.05,3717298,191.3735,194.905,190.4572,0.0026659557451347293
2011-06-09,189.74,191.76,185.71,189.68,4187247,191.11550000000003,194.17000000000002,190.7584,0.008667907471417102
2011-06-10,189.25,190.77,186.28,186.53,3763318,190.26850000000002,193.193,190.90059999999997,-0.016606916912695113
2011-06-13,186.81,189.31,184.86,186.29,3870109,189.4845,192.3795,191.02380000000002,-0.0012866563019353627
2011-06-14,188.99,190.72,187.07,189.96,3960595,188.81150000000002,192.252,191.2204,0.019700467013795686
2011-06-15,188.04,192.45,185.3,185.98,6318167,188.17,191.8105,191.28119999999998,-0.02095177932196257
2011-06-16,185.74,187.0,181.59,183.65,6032133,187.17000000000002,191.13850000000002,191.2484,-0.012528228841810818
2011-06-17,186.51,187.39,184.64,186.37,6328368,186.97500000000002,190.51675,191.32059999999998,0.014810781377620374
2011-06-20,185.96,188.852,185.57,187.72,2834165,187.17800000000003,189.97025,191.3768,0.007243655094704149
2011-06-21,188.3,195.0,187.12,194.23,4183500,187.84599999999998,189.87075,191.5672,0.034679309610057496
2011-06-22,193.96,195.2,191.32,191.63,3134853,188.204,189.78875,191.71899999999997,-0.013386191628481647
2011-06-23,189.5,194.46,188.3,194.16,4615172,188.652,189.88375,191.99259999999998,0.01320252570056879
2011-06-24,193.88,194.92,191.35,192.55,3616646,189.254,189.76125,192.19780000000003,-0.008292130201895231
2011-06-27,194.5,202.58,194.03,201.25,6101848,190.75,190.11725,192.5864,0.04518306933264071
2011-06-28,201.92,202.88,200.6,202.35,3825987,191.98899999999998,190.40025,193.03320000000002,0.005465838509316701
2011-06-29,202.67,206.25,201.03,204.18,4609722,193.809,190.9895,193.55,0.009043736100815547
2011-06-30,200.78,205.2,200.5,204.49,4451249,195.893,191.5315,194.06339999999997,0.0015182681947301102
2011-07-01,205.55,210.27,203.61,209.49,4012453,198.20499999999998,192.58999999999997,194.57580000000002,0.02445107340212238
2011-07-05,208.76,214.45,208.73,213.19,3586280,200.752,193.96499999999997,195.1218,0.017661940904100337
2011-07-06,212.12,214.4,211.0101,214.19,2607963,202.748,195.297,195.6972,0.004690651531497725
2011-07-07,215.09,217.8,215.09,216.74,3145959,205.25900000000001,196.7315,196.386,0.011905317708576613
2011-07-08,214.3,218.32,213.25,218.28,3708085,207.671,198.1615,196.81900000000002,0.007105287441173669
2011-07-11,216.74,217.5,211.0,212.55,4034762,209.671,199.4625,197.1686,-0.026250687190764066
2011-07-12,214.64,215.65,211.12,211.23,3987226,210.669,200.7095,197.47699999999998,-0.006210303458009991
2011-07-13,214.7,216.83,212.14,213.5,4231701,211.78400000000002,201.8865,197.7232,0.010746579557828095
2011-07-14,213.58,215.91,209.38,210.38,3904925,212.404,203.1065,197.9618,-0.014613583138173292
